"","iteration","num.plants","plant.size","plant.size.var","aim.sum","aim.count","aim.multiples","haf.sum","haf.count","haf.duplicates","plot.average","plot.max"
"63",63,50,25,12.5,22.2916600191421,12,2,24.0927898136493,5,4,21.8918847075815,23.290871980029
"64",64,50,25,12.5,23.6089643520272,11,0,24.5116670194893,3,3,22.0722947376616,23.4845304663864
"65",65,50,25,12.5,22.5108647629578,13,3,23.418598796324,5,4,22.2978275594443,23.7663398556441
"66",66,50,25,12.5,23.1829819382692,15,1,23.7017424513818,6,4,22.489473672914,23.8328620166634
"67",67,50,25,12.5,22.5222880432685,12,0,23.6561869014461,4,3,22.3740892902704,23.8509172548701
"68",68,50,25,12.5,22.5848269626086,20,5,23.459948100827,7,4,22.0577854157758,23.394427580707
"69",69,50,25,12.5,22.6387337381392,7,1,23.9970953072294,3,2,22.2805742777124,23.6618425576157
"70",70,50,25,12.5,23.3298578691651,11,3,24.0290861106702,5,1,22.4861531569291,23.8582456761004
"71",71,50,25,12.5,23.2125609508404,15,3,24.4927019301284,4,3,22.2288360116765,23.6712666095091
"72",72,50,25,12.5,22.7769930305373,10,2,23.9789814989931,4,3,22.1101214203183,23.5467319649103
"73",73,50,25,12.5,22.7343054891746,8,0,23.3426294154273,2,1,22.2120953905075,23.6617698970663
"74",74,50,25,12.5,23.3839414722133,12,1,24.2435345456505,3,2,22.2399613886738,23.5976937775663
"75",75,50,25,12.5,22.9600955708895,12,2,24.0518421174698,5,2,22.2242903164326,23.5687859926671
"76",76,50,25,12.5,22.7170229235686,4,2,23.827668129705,2,1,22.2341031442501,23.664236412179
"77",77,50,25,12.5,23.177750780658,8,1,24.3342292713607,3,3,22.1530837672732,23.5906848752904
"78",78,50,25,12.5,23.7668067411742,9,1,24.1309073314131,4,2,22.2841714888145,23.6510245255491
"79",79,50,25,12.5,22.6003448337037,16,0,23.7342073504328,6,3,22.199239088582,23.6488386120383
"80",80,50,25,12.5,22.7342495068387,15,3,24.1322768894369,4,4,22.4053984878021,23.8479418389722
"81",81,50,25,12.5,22.7169731572792,3,0,23.2109252499556,1,1,22.3014954160504,23.7077114508572
"82",82,50,25,12.5,22.4605815536985,4,0,0,0,0,22.1501404991619,23.5599884182928
"83",83,50,25,12.5,22.2356944241083,10,1,23.3983254891001,3,3,21.934334524525,23.4320779213874
"84",84,50,25,12.5,22.5501474479841,10,0,23.3214271119951,4,1,22.1209466206647,23.5172095851747
"85",85,50,25,12.5,22.4498237018885,17,0,23.3073368480015,4,4,22.0251681457126,23.4455357828946
"86",86,50,25,12.5,23.5499233594031,3,0,24.5388294000283,1,0,22.2318414530472,23.6764111261855
"87",87,50,25,12.5,22.6663749647333,13,0,23.5409136748542,4,4,22.2411556275446,23.7326971110175
"88",88,50,25,12.5,22.2515118561313,9,1,24.0107066937247,3,1,22.292778536057,23.725096364074
"89",89,50,25,12.5,21.9906738170813,5,0,0,0,0,22.1383666907753,23.573186510367
"90",90,50,25,12.5,22.7937242709602,15,0,23.4287735213238,4,2,22.2033272731343,23.6456388664951
"91",91,50,25,12.5,24.1374224243942,5,0,24.2313956092611,2,1,22.2509695151771,23.7297221499983
"92",92,50,25,12.5,22.2127623921557,10,0,23.4172588073708,4,3,22.3430352670957,23.7522810314837
"93",93,50,25,12.5,23.8428877111661,9,0,24.5790222086295,3,3,22.3380495179868,23.651303370476
"94",94,50,25,12.5,22.3922208861001,15,2,23.4271737679894,5,3,22.1934354707924,23.5438469381343
"95",95,50,25,12.5,23.4071219058644,13,4,24.2227627955011,5,3,22.1560675433151,23.5416863145398
"96",96,50,25,12.5,23.0789241212762,11,0,23.8106753200768,3,2,22.2250091472743,23.5257642523485
"97",97,50,25,12.5,23.0077185666659,4,0,0,0,0,22.2499227271778,23.6718282751226
"98",98,50,25,12.5,22.8621039239179,10,1,23.5240612299616,4,2,22.0506198344569,23.5592423226993
"99",99,50,25,12.5,23.4424142425284,11,0,24.3787657441925,3,2,22.0543980785601,23.435651953028
"100",100,50,25,12.5,21.7452093252507,7,0,22.3688007111865,1,0,22.2712003872187,23.7237688730115
