"","iteration","num.plants","plant.size","plant.size.var","aim.sum","aim.count","aim.multiples","haf.sum","haf.count","haf.duplicates","plot.average","plot.max"
"1",1,100,10,5,22.4749979267762,5,0,24.0241829792425,1,0,22.1212996360833,23.5124927706718
"2",2,100,10,5,22.6356708340816,6,0,0,0,0,21.9134178152219,23.2667797125007
"3",3,100,10,5,23.3265877549083,8,1,23.9737877253195,3,0,22.07207561509,23.4040887445682
"4",4,100,10,5,23.0812555190445,3,1,24.0907405906288,1,0,21.9991776342854,23.3762204050689
"5",5,100,10,5,22.7185007456763,6,1,23.2379146968607,3,0,22.1198094442369,23.4989411937716
"6",6,100,10,5,23.1241047473809,2,0,24.5412451917828,1,0,22.1065309035133,23.5455992386485
"7",7,100,10,5,23.3390555147662,9,0,24.0209504998677,3,0,22.0772807074156,23.4214042299265
"8",8,100,10,5,22.8812424155269,7,0,23.2831408051775,3,0,22.1413687106694,23.472145231176
"9",9,100,10,5,22.2541364633763,10,0,22.6179163117638,3,0,22.0601221548897,23.402378228363
"10",10,100,10,5,22.7739150171233,8,0,23.3065863056967,1,0,21.8916254052486,23.2447659909814
"11",11,100,10,5,22.8595461880756,10,1,23.6359588217259,5,0,21.9677116879008,23.3398673577578
"12",12,100,10,5,22.3676088337531,4,0,23.4198595232155,1,0,22.2522691850149,23.6021964571189
"13",13,100,10,5,23.3254772838095,10,0,24.0788654874033,5,0,22.0759575443028,23.4523429688712
"14",14,100,10,5,22.4425241434486,6,0,23.4642889620236,2,0,21.9036245575287,23.2927731656554
"15",15,100,10,5,23.5884670816127,10,0,23.5148526668762,2,0,22.096004287434,23.4693721468534
"16",16,100,10,5,22.6057382229278,5,0,22.4097730143096,1,0,21.8951187149774,23.2206972463307
"17",17,100,10,5,22.3125161156585,5,0,22.6058832722932,2,1,22.0503376271967,23.4165346630835
"18",18,100,10,5,23.4609681581983,11,1,23.6442779958742,4,0,22.0714630871406,23.4608038052084
